"quantidade_doadores","total_receita","media_receita","recursos_de_outros_candidatos.comites","recursos_de_partidos","recursos_de_pessoas_físicas","recursos_de_pessoas_juridicas","recursos_proprios","votos","quantidade_despesas","quantidade_fornecedores","media_despesa","sexo"
6,3900,557.142857142857,4217.5,6325.485,3150,28086,750,440,6,5,650,2
7,12485,891.785714285714,5000,6365,770,28086,350,2455,18,5,693.333333333333,2
4,25682.75,1712.18333333333,23232.75,6325.485,1200,28086,1250,1369,60,31,427.892,1
4,5922.5,846.071428571429,1222.5,4000,700,28086,5019.35,1124,6,3,320.416666666667,1
5,6773.3,521.023076923077,810.8,6325.485,3962.5,28086,2000,607,12,6,564.441666666667,2
15,122262.8,3217.44210526316,101812.8,6325.485,5950,28086,14500,10549,166,72,735.687228915663,2
4,2750,687.5,4217.5,6325.485,2750,28086,5019.35,1212,4,4,687.5,2
55,4058648.54,21029.2670466321,331210.19,1313625,786400,1343413.35,284000,117652,1783,874,2845.59249579361,2
1,2296.07,574.0175,4217.5,2296.07,4550,28086,5019.35,149,4,1,574.0175,1
2,700,350,4217.5,6325.485,700,28086,5019.35,79,2,2,350,1
5,11212.03,700.751875,1455,4000,2000,973.03,2784,4083,18,12,622.890555555556,2
4,50060,7151.42857142857,4217.5,6325.485,18000,28086,32060,132,8,7,6257.5,2
8,721285,24042.8333333333,44135,1e+05,100,577050,5019.35,47188,158,56,4564.85303797468,2
129,460600,3337.68115942029,51000,142500,45500,221600,5019.35,103006,194,82,2373.93108247423,2
25,57120.5,1543.7972972973,10360.5,10000,36760,28086,5019.35,3133,60,32,951.841666666667,2
4,33502.5,3350.25,4217.5,2002.5,1500,28086,30000,2321,37,23,905.472972972973,2
17,15695.68,603.68,400,6325.485,8672,28086,6623.68,2466,42,12,373.694523809524,2
2,10709.46,3569.82,4217.5,5709.46,5000,28086,5019.35,960,33,20,324.529090909091,2
49,1979036,32983.9333333333,4217.5,893486,170250,915300,5019.35,227470,862,288,2295.25740139211,2
1,600,600,4217.5,6325.485,4550,28086,600,3598,3,3,200,2
1,3000,3000,4217.5,3000,4550,28086,5019.35,777,8,8,375,1
10,490325.01,21318.4786956522,4217.5,15000,28270,82855.01,364200,11488,668,240,733.766991017964,1
2,480,240,4217.5,6325.485,480,28086,5019.35,77,2,2,240,2
1,3476,695.2,4217.5,3476,4550,28086,5019.35,560,5,1,695.2,2
108,925976.87,5715.90660493827,16482.89,95000,325943.98,447050,41500,38163,863,399,1072.97435689455,2
8,36087.5,1640.34090909091,28237.5,6325.485,5850,28086,2000,2145,75,29,481.166666666667,2
17,74317.92,2654.21142857143,4217.5,6325.485,23251.77,28086,51066.15,13873,69,25,1077.07130434783,2
5,15012.5,2144.64285714286,14312.5,6325.485,700,28086,5019.35,744,6,4,835.416666666667,1
2,8635.89,785.080909090909,4619.25,4016.64,4550,28086,5019.35,624,11,2,785.080909090909,1
4,12750.64,3187.66,4217.5,6325.485,12750.64,28086,5019.35,724,6,5,2125.10666666667,1
13,29875.65,1757.39117647059,2400,5720,15591.25,3000,3164.4,2924,17,13,1757.39117647059,2
24,1112268.5,30896.3472222222,4977.5,807500,49500,86790,155500,63964,570,351,1950.98224561404,2
4,3036,276,29,1302.5,500,28086,1204.5,208,11,5,276,2
36,213135.32,4349.70040816326,2840,30000,87912,80283.32,12100,48836,113,101,1885.11716814159,2
4,13925.77,497.348928571429,8925.77,5000,4550,28086,5019.35,1165,34,9,409.581470588235,1
4,50574.2,7224.88571428571,4217.5,29474.2,9000,28086,12100,3744,50,12,1011.4858,2
3,17443.5,1341.80769230769,12607.77,4835.73,4550,28086,5019.35,476,13,3,1341.80769230769,2
4,56124.6,5102.23636363636,4217.5,53902,1222.6,28086,1000,29695,90,27,623.606666666667,2
1,455,91,455,6325.485,4550,28086,5019.35,42,5,1,91,1
2,14150,2021.42857142857,14120,6325.485,4550,28086,30,67,15,6,943.333333333333,1
13,37043.4,1683.79090909091,14143.4,6325.485,13300,28086,9600,7087,26,17,1375.19384615385,2
2,5919.65,657.738888888889,3932.5,6325.485,4550,28086,1987.15,1362,11,5,528.622727272727,1
2,250,83.3333333333333,4217.5,6325.485,50,28086,200,173,2,1,125,2
4,9377.5,852.5,8677.5,6325.485,700,28086,5019.35,307,11,4,852.5,2
4,34820,3868.88888888889,4217.5,25620,1000,28086,8200,583,35,18,988.988571428571,1
3,2830.5,471.75,2330.5,6325.485,500,28086,5019.35,434,6,3,471.75,2
5,41324,4132.4,33500,5514,1635,28086,675,8915,71,24,580.853943661972,2
4,4217.05,702.841666666667,2667.05,6325.485,1500,28086,50,972,5,3,833.41,2
9,394686.46,17940.2936363636,3072.5,6325.485,4500,207400,179713.96,8338,552,339,715.011702898551,2
2,1350,450,150,1200,4550,28086,5019.35,241,3,2,450,1
8,81896.03,2641.80741935484,3205,6325.485,78691.03,28086,5019.35,5131,72,33,1137.35763888889,1
12,1091562.32,47459.2313043478,167587.66,793374.66,25600,75000,30000,105693,347,140,3974.92296829971,2
1,3682,1841,4217.5,6325.485,4550,28086,3682,144,4,3,920.5,2
2,1448,724,4217.5,6325.485,1448,28086,5019.35,215,2,2,724,2
